scenario,backend,role,capacity,num_consumers,ratio,payload_bytes,trials,tput_mean,tput_median,tput_min,tput_max,fail_rate_mean,lat_p50_mean,lat_p50_median,lat_p99_mean,lat_p99_median,fail_lat_p50_mean,fail_lat_p50_median,fail_lat_p99_mean,fail_lat_p99_median
n_1,spmc,consumer,1024,1,balanced,8,5,1999947.4969470159,1999924.2150153008,1999918.243199572,1999998.839812635,0.00002567125067027909,499.91796875,499.91796875,500,500,,500,,3000
n_1,sync,producer,1024,1,balanced,8,5,1999998.7555033122,1999998.837833592,1999998.4238951693,1999998.8398201386,0,499.91796875,499.91796875,500.17890625,500.244140625,,,,
n_1,sync,consumer,1024,1,balanced,8,5,1999896.012967166,1999907.921140071,1999868.0764478238,1999925.2908562664,0.00005137127350833158,499.918359375,499.91796875,500.4366097383721,500.162109375,349.8,458,2442.2,584
n_2,spmc,producer,1024,2,balanced,8,5,2000993.6061315283,2000995.344999413,2000986.4695536091,2000998.4255815505,0.49975139528332935,516.4,500,666.4,584,175.4,209,300.2,292
n_2,spmc,consumer,1024,2,balanced,8,5,3999997.695145278,3999997.6796044903,3999997.67763466,3999997.7612249833,0,499.918359375,499.91796875,499.991796875,500,,,,
n_2,sync,producer,1024,2,balanced,8,5,1998211.9215964794,2000803.977699569,1992450.0184719504,2001000.6655073487,0.1703292588108238,507.4769005847953,504.55555555555554,650,583,175,167,416.8,417
n_2,sync,consumer,1024,2,balanced,8,5,3994835.894600021,3999632.5917281406,3982881.791288013,3999997.6775914244,0.0012903924297689995,499.9185546875,499.91796875,4810.3072265625,906.25,,354,,1500
n_4,spmc,producer,1024,4,balanced,8,5,1981415.7940552544,1980386.8053569582,1975257.4949381105,1991028.286613854,0.7521983576855673,541,541,733,708,116.8,125,258.6,250
n_4,spmc,consumer,1024,4,balanced,8,5,7922304.683314398,7918423.136058447,7897960.235553185,7960545.2036484415,0.009711310263273352,499.90595703125,499.89794921875,573.3633652179487,562.8834355828221,500,500,541.5,541.5
n_4,sync,producer,1024,4,balanced,8,5,14373.298951601613,14300.448765845187,13791.097950750805,15281.318172955765,0,67781.608984375,67499.1875,88288.753125,88106.36328125,,,,
n_4,sync,consumer,1024,4,balanced,8,5,57476.70790502975,57119.316678875824,55164.87039483554,61125.17890187613,0.990671387727108,49591.65,50583.25,271768.6,256385.5,468.75,468.75,2502.3,2510.75
n_8,spmc,producer,1024,8,balanced,8,5,415797.80268920463,408084.7966078167,383330.4327214168,443395.9470137692,0.9630725511111493,296.7102864583333,270.5,1037855.55,1093319.6666666667,83,83,275.2,292
n_8,spmc,consumer,1024,8,balanced,8,5,3329481.1629341994,3263758.767894392,3069730.1871308372,3551620.2878957596,0.7918548283617282,360.990625,369.69921875,18653.635235852154,16517.150390625,500,500,542,542
n_8,sync,producer,1024,8,balanced,8,5,394.46731318461525,398.018993002654,384.51200237978264,402.98310301699746,0,2535950.1779675037,2512443.02,2535950.1779675037,2512443.02,,,,
n_8,sync,consumer,1024,8,balanced,8,5,3155.938883517886,3184.1539270285302,3076.1808495384184,3223.979258616733,0.9989948639124911,597832.35,588119.875,36818156.175,36881484.25,1704.15,1697.875,12150.05,12140.75
n_16,spmc,producer,1024,16,balanced,8,5,51591.390936910924,52076.293454808794,48153.61569779703,54088.33497833572,0.9910525325680819,267.70690104166664,270.8333333333333,11630395.8,13029167,83,83,167,167
n_16,spmc,consumer,1024,16,balanced,8,5,824873.9932350323,837623.3799961673,777016.756227408,863887.0867783255,0.9741075933498184,261.215625,260.39518229166663,94051.29706443913,53953.96423339844,83.5125,83.5,541.7,541.6875
n_16,sync,producer,1024,16,balanced,8,5,25.6850115982449,21.889598910421732,14.9251577962308,44.773867745224166,0,45477549.4485918,45683799.22727273,45477549.4485918,45683799.22727273,,,,
n_16,sync,consumer,1024,16,balanced,8,5,412.61982317271224,351.36144474316427,241.49781615160268,719.5693182577437,0.9998613865979532,54462364.55,52761127.5,118304453.65,111721322.9375,1878.575,1877.4375,12623.4625,12601.5625
payload_u64,spmc,producer,1024,4,balanced,8,5,1981516.7273088875,1981833.1282401073,1977579.7242110497,1986272.5181063458,0.7523103493547855,541,541,733.6,750,100.4,84,241.8,250
payload_u64,spmc,consumer,1024,4,balanced,8,5,7922494.668747224,7923299.282569422,7907254.941482978,7941229.152757274,0.009687125249178887,499.9099609375,499.91796875,594.395116095691,593.9677734375,500,500,541.7,541.5
payload_u64,sync,producer,1024,4,balanced,8,5,15012.41204019505,14689.780624698767,14248.12543836632,15792.471999052612,0,65831.34476759454,67269.369140625,83676.79539558532,79412.435546875,,,,
payload_u64,sync,consumer,1024,4,balanced,8,5,60049.75982644646,58759.056722972964,56992.92917295301,63170.41754775644,0.9902767840367434,48320.9,47813,260427.15,228698,468.65,468.75,2523,2531.25
payload_u64x8,spmc,producer,1024,4,balanced,64,5,1982210.288857858,1982326.5449778186,1967185.7080966998,1990591.8478934148,0.7521890337566686,541,541,750.2,750,92.2,84,225.4,209
payload_u64x8,spmc,consumer,1024,4,balanced,64,5,7925583.482391812,7926156.83672443,7865709.109945265,7959261.23573052,0.009301424452144578,499.91796875,499.91796875,610.5248046875,614.791015625,500,500,541.8,541.75
payload_u64x8,sync,producer,1024,4,balanced,64,5,13380.321507468112,13105.493292638184,12684.931971892844,14859.552882460555,0,74162.20703125,74566.244140625,95919.629296875,95286.703125,,,,
payload_u64x8,sync,consumer,1024,4,balanced,64,5,53521.57583986661,52422.479009293194,50740.08003448849,59438.39410770708,0.9911299151071248,52504.25,52937.5,459306.3,324437.5,493.75,489.5,2468.75,2406.25
