scenario,backend,trial,role,thread_id,capacity,num_consumers,ratio,ok_ops,fail_ops,window_ns,throughput_ops_s,fail_rate_pct,lat_p50_ns,lat_p99_ns,lat_max_ns,fail_lat_p50_ns,fail_lat_p99_ns,payload_bytes
rate_balanced,spmc,1,consumer,0,1024,4,balanced,2008691,1286,1004989167,1998719.056839346,0.06398083162145636,499.91796875,508.462890625,1144.205078125,500,542,8
rate_balanced,spmc,1,consumer,1,1024,4,balanced,2008690,1274,1004982584,1998731.1541311247,0.06338421981687234,499.91796875,511.23046875,1426.431640625,500,542,8
rate_balanced,spmc,1,consumer,2,1024,4,balanced,2008697,1269,1004983625,1998736.0490575158,0.06313539632013676,499.91796875,505.37109375,1728.515625,500,542,8
rate_balanced,spmc,1,consumer,3,1024,4,balanced,2008847,1133,1004990625,1998871.3825066776,0.056368720086767035,499.91796875,505.533203125,1496.419921875,500,542,8
rate_balanced,spmc,2,producer,0,1024,4,balanced,2009972,6020150,1004994458,1999983.1680663854,74.96959572967883,541,833,611916,84,333,8
rate_balanced,spmc,2,consumer,0,1024,4,balanced,2008967,1022,1004995125,1998981.8358571639,0.05084604940624053,499.91796875,510.580078125,17173.666666666668,500,541,8
rate_balanced,spmc,2,consumer,1,1024,4,balanced,2009181,791,1004986584,1999211.7626119475,0.039353782042734924,499.91796875,508.87109375,1439.291015625,500,542,8
rate_balanced,spmc,2,consumer,2,1024,4,balanced,2008981,1008,1004995125,1998995.7662729956,0.05014952818149751,499.91796875,507.2421875,17173.666666666668,500,542,8
rate_balanced,spmc,2,consumer,3,1024,4,balanced,2008967,1006,1004987125,1998997.748354239,0.05005042356290358,499.91796875,506.591796875,41576.333333333336,500,541,8
rate_balanced,spmc,3,producer,0,1024,4,balanced,1998939,6013364,1004991083,1989011.6776289844,75.05162997455288,541,750,743834,83,209,8
rate_balanced,spmc,3,consumer,0,1024,4,balanced,1997935,12047,1004991583,1988011.6747206629,0.5993586012213045,499.91796875,512.857421875,9559.5703125,500,541,8
rate_balanced,spmc,3,consumer,1,1024,4,balanced,1997935,12040,1004988083,1988018.5982265025,0.5990124255276807,499.91796875,542.3984375,31792,500,542,8
rate_balanced,spmc,3,consumer,2,1024,4,balanced,1997935,12027,1004981667,1988031.2901270068,0.5983695214138377,499.91796875,510.009765625,35104,500,542,8
