scenario,backend,trial,role,thread_id,capacity,num_consumers,ratio,ok_ops,fail_ops,window_ns,throughput_ops_s,fail_rate_pct,lat_p50_ns,lat_p99_ns,lat_max_ns,fail_lat_p50_ns,fail_lat_p99_ns,payload_bytes
cmp_slowest_consumer_gates,spmc,0,consumer,0,4,2,max,8771934,12365057,1004996208,8728325.470457895,58.49960857720949,166,209,1112750,83,125,8
cmp_slowest_consumer_gates,spmc,0,consumer,1,4,2,max,8771934,12246607,1004994959,8728336.31795361,58.265733097268736,166,209,673167,83,125,8
cmp_slowest_consumer_gates,spmc,1,producer,0,4,2,max,8760384,7258241,1004994917,8716844.087282086,45.31126111011401,166,209,301167,42,125,8
cmp_slowest_consumer_gates,spmc,1,consumer,0,4,2,max,8760385,12102847,1004996291,8716833.16490966,58.01041276826141,166,209,676500,83,125,8
cmp_slowest_consumer_gates,spmc,1,consumer,1,4,2,max,8760385,12203423,1004993834,8716854.475745969,58.2118620815455,166,209,301083,83,125,8
cmp_slowest_consumer_gates,spmc,2,producer,0,4,2,max,8704268,7309466,1004986833,8661076.65711079,45.64498198858555,166,209,1098073,42,125,8
cmp_slowest_consumer_gates,spmc,2,consumer,0,4,2,max,8704267,12200947,1004995416,8661001.693563944,58.36317676537538,166,209,1174958,83,125,8
cmp_slowest_consumer_gates,spmc,2,consumer,1,4,2,max,8704266,12217585,1004987916,8661065.333645266,58.39629103562586,166,209,1098052,83,125,8
cmp_slowest_consumer_gates,spmc,3,producer,0,4,2,max,8834812,7197864,1000866083,8827166.940774433,44.89496326127965,166,209,1082625,42,84,8
cmp_slowest_consumer_gates,spmc,3,consumer,0,4,2,max,8834813,11980942,1000869458,8827138.174097426,57.55708596685539,166,209,462584,83,125,8
cmp_slowest_consumer_gates,spmc,3,consumer,1,4,2,max,8834813,12002473,1000867833,8827152.50575947,57.60094188849738,166,209,1082667,83,125,8
cmp_slowest_consumer_gates,spmc,4,producer,0,4,2,max,8823126,7154381,1004985084,8779360.152175155,44.777830483817034,166,209,229760.5,42,125,8
cmp_slowest_consumer_gates,spmc,4,consumer,0,4,2,max,8823127,12271875,1004985834,8779354.595360396,58.17432489458878,166,209,326667,83,125,8
cmp_slowest_consumer_gates,spmc,4,consumer,1,4,2,max,8823126,12237628,1004994375,8779278.988501802,58.106314712189324,166,209,296375,83,125,8
cmp_slowest_consumer_gates,sync,0,producer,0,4,2,max,180751,20447,1004577333,179927.41231799225,10.162625871032516,5486.227467811159,7298.805714285714,25323.529411764706,292,2417,8
cmp_slowest_consumer_gates,sync,0,consumer,0,4,2,max,180751,4727894,1004583042,179926.38979864444,96.31770070966631,5500,21167,1129417,167,959,8
cmp_slowest_consumer_gates,sync,0,consumer,1,4,2,max,180751,5779808,1004575416,179927.75566787313,96.96754952010373,5500,21208,381042,166,292,8
cmp_slowest_consumer_gates,sync,1,producer,0,4,2,max,179795,13464,1005000834,178900.34905184965,6.966816551881154,5535.80859375,7182.851239669421,14073.73076923077,292,5500,8
cmp_slowest_consumer_gates,sync,1,consumer,0,4,2,max,179794,4764814,1005007000,178898.25643005472,96.36383713329752,5500,21208,638458,167,959,8
cmp_slowest_consumer_gates,sync,1,consumer,1,4,2,max,179795,5783105,1005006042,178899.42197979343,96.98477251002029,5500,21167,437792,166,292,8
cmp_slowest_consumer_gates,sync,2,producer,0,4,2,max,180148,14887,1004970458,179257.0105578168,7.632988950701155,5481.940886699507,7455.75,18288.194444444445,292,5417,8
cmp_slowest_consumer_gates,sync,2,consumer,0,4,2,max,180148,4757388,1004963750,179258.20707463328,96.35145951340913,5500,21250,660791,167,958,8
cmp_slowest_consumer_gates,sync,2,consumer,1,4,2,max,180148,5768297,1004957542,179259.31441987227,96.97151104196139,5500,21250,504458,166,292,8
cmp_slowest_consumer_gates,sync,3,producer,0,4,2,max,177085,16391,1001368000,176843.07866838164,8.471851805908743,5559.322033898305,7710.9375,15750,292,5500,8
cmp_slowest_consumer_gates,sync,3,consumer,0,4,2,max,177085,4762267,1001363167,176843.93218749177,96.41481311718623,5541,21500,615416,167,958,8
cmp_slowest_consumer_gates,sync,3,consumer,1,4,2,max,177085,5730797,1001359250,176844.62394490288,97.00256369372306,5542,21541,300458,167,292,8
cmp_slowest_consumer_gates,sync,4,producer,0,4,2,max,177737,63222,1004990500,176854.40807649426,26.23765868882258,5519.466666666666,7520.818181818182,239588.11538461538,125,1000,8
